Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,target,kfold
35,4.9,3.1,1.5,0.1,Iris-setosa,0
110,7.2,3.6,6.1,2.5,Iris-virginica,0
1,5.1,3.5,1.4,0.2,Iris-setosa,0
108,7.3,2.9,6.3,1.8,Iris-virginica,0
121,6.9,3.2,5.7,2.3,Iris-virginica,0
125,6.7,3.3,5.7,2.1,Iris-virginica,0
72,6.1,2.8,4.0,1.3,Iris-versicolor,0
21,5.4,3.4,1.7,0.2,Iris-setosa,0
147,6.3,2.5,5.0,1.9,Iris-virginica,0
152,,,,1.8,Iris-virginica,0
22,5.1,3.7,1.5,0.4,Iris-setosa,0
53,6.9,3.1,4.9,1.5,Iris-versicolor,0
123,7.7,2.8,6.7,2.0,Iris-virginica,0
128,6.1,3.0,4.9,1.8,Iris-virginica,0
129,6.4,2.8,5.6,2.1,Iris-virginica,0
86,6.0,3.4,4.5,1.6,Iris-versicolor,0
79,6.0,2.9,4.5,1.5,Iris-versicolor,0
97,5.7,2.9,4.2,1.3,Iris-versicolor,0
117,6.5,3.0,5.5,1.8,Iris-virginica,0
111,6.5,3.2,5.1,2.0,Iris-virginica,0
50,5.0,3.3,1.4,0.2,Iris-setosa,0
47,5.1,3.8,1.6,0.2,Iris-setosa,0
32,5.4,3.4,1.5,0.4,Iris-setosa,0
62,5.9,3.0,4.2,1.5,Iris-versicolor,0
140,6.9,3.1,5.4,2.1,Iris-virginica,1
68,5.8,2.7,4.1,1.0,Iris-versicolor,0
59,6.6,2.9,4.6,1.3,Iris-versicolor,0
109,6.7,2.5,5.8,1.8,Iris-virginica,1
65,5.6,2.9,3.6,1.3,Iris-versicolor,0
25,4.8,3.4,1.9,0.2,Iris-setosa,0
33,5.2,4.1,1.5,0.1,Iris-setosa,0
29,5.2,3.4,1.4,0.2,Iris-setosa,0
80,5.7,2.6,3.5,1.0,Iris-versicolor,0
149,6.2,3.4,5.4,2.3,Iris-virginica,1
41,5.0,3.5,1.3,0.3,Iris-setosa,1
89,5.6,3.0,4.1,1.3,Iris-versicolor,1
105,6.5,3.0,5.8,2.2,Iris-virginica,1
146,6.7,3.0,5.2,2.3,Iris-virginica,1
137,6.3,3.4,5.6,2.4,Iris-virginica,1
130,7.2,3.0,5.8,1.6,Iris-virginica,1
135,6.1,2.6,5.6,1.4,Iris-virginica,1
114,5.7,2.5,5.0,2.0,Iris-virginica,1
71,5.9,3.2,4.8,1.8,Iris-versicolor,1
58,4.9,2.4,3.3,1.0,Iris-versicolor,1
48,4.6,3.2,1.4,0.2,Iris-setosa,1
28,5.2,3.5,1.5,0.2,Iris-setosa,1
150,5.9,3.0,5.1,1.8,Iris-virginica,1
19,5.7,3.8,1.7,0.3,Iris-setosa,1
85,5.4,3.0,4.5,1.5,Iris-versicolor,1
44,5.0,3.5,1.6,0.6,Iris-setosa,1
103,7.1,3.0,5.9,2.1,Iris-virginica,1
45,5.1,3.8,1.9,0.4,Iris-setosa,1
30,4.7,3.2,1.6,0.2,Iris-setosa,1
14,4.3,3.0,1.1,0.1,Iris-setosa,1
90,5.5,2.5,4.0,1.3,Iris-versicolor,1
26,5.0,3.0,1.6,0.2,Iris-setosa,1
82,5.5,2.4,3.7,1.0,Iris-versicolor,1
134,6.3,2.8,5.1,1.5,Iris-virginica,2
49,5.3,3.7,1.5,0.2,Iris-setosa,1
122,5.6,2.8,4.9,2.0,Iris-virginica,2
136,7.7,3.0,6.1,2.3,Iris-virginica,2
4,4.6,3.1,1.5,0.2,Iris-setosa,2
3,4.7,3.2,1.3,0.2,Iris-setosa,2
57,6.3,3.3,4.7,1.6,Iris-versicolor,1
23,4.6,3.6,1.0,0.2,Iris-setosa,2
113,6.8,3.0,5.5,2.1,Iris-virginica,2
17,5.4,3.9,1.3,0.4,Iris-setosa,2
133,6.4,2.8,5.6,2.2,Iris-virginica,2
67,5.6,3.0,4.5,1.5,Iris-versicolor,1
102,5.8,2.7,5.1,1.9,Iris-virginica,2
144,6.8,3.2,5.9,2.3,Iris-virginica,2
60,5.2,2.7,3.9,1.4,Iris-versicolor,1
104,6.3,2.9,5.6,1.8,Iris-virginica,2
127,6.2,2.8,4.8,1.8,Iris-virginica,2
75,6.4,2.9,4.3,1.3,Iris-versicolor,1
124,6.3,2.7,4.9,1.8,Iris-virginica,2
52,6.4,3.2,4.5,1.5,Iris-versicolor,2
9,4.4,2.9,1.4,0.2,Iris-setosa,2
10,4.9,3.1,1.5,0.1,Iris-setosa,2
116,6.4,3.2,5.3,2.3,Iris-virginica,3
12,4.8,3.4,1.6,0.2,Iris-setosa,2
101,6.3,3.3,6.0,2.5,Iris-virginica,3
115,5.8,2.8,5.1,2.4,Iris-virginica,3
61,5.0,2.0,3.5,1.0,Iris-versicolor,2
34,5.5,4.2,1.4,0.2,Iris-setosa,2
56,5.7,2.8,4.5,1.3,Iris-versicolor,2
13,4.8,3.0,1.4,0.1,Iris-setosa,2
64,6.1,2.9,4.7,1.4,Iris-versicolor,2
74,6.1,2.8,4.7,1.2,Iris-versicolor,2
138,6.4,3.1,5.5,1.8,Iris-virginica,3
20,5.1,3.8,1.5,0.3,Iris-setosa,2
151,5.9,,,,Iris-virginica,3
42,4.5,2.3,1.3,0.3,Iris-setosa,3
107,4.9,2.5,4.5,1.7,Iris-virginica,3
148,6.5,3.0,5.2,2.0,Iris-virginica,3
8,5.0,3.4,1.5,0.2,Iris-setosa,3
76,6.6,3.0,4.4,1.4,Iris-versicolor,2
112,6.4,2.7,5.3,1.9,Iris-virginica,3
70,5.6,2.5,3.9,1.1,Iris-versicolor,2
38,4.9,3.1,1.5,0.1,Iris-setosa,3
43,4.4,3.2,1.3,0.2,Iris-setosa,3
106,7.6,3.0,6.6,2.1,Iris-virginica,3
95,5.6,2.7,4.2,1.3,Iris-versicolor,2
37,5.5,3.5,1.3,0.2,Iris-setosa,3
145,6.7,3.3,5.7,2.5,Iris-virginica,3
87,6.7,3.1,4.7,1.5,Iris-versicolor,2
63,6.0,2.2,4.0,1.0,Iris-versicolor,2
84,6.0,2.7,5.1,1.6,Iris-versicolor,3
66,6.7,3.1,4.4,1.4,Iris-versicolor,3
139,6.0,3.0,4.8,1.8,Iris-virginica,4
119,7.7,2.6,6.9,2.3,Iris-virginica,4
92,6.1,3.0,4.6,1.4,Iris-versicolor,3
73,6.3,2.5,4.9,1.5,Iris-versicolor,3
69,6.2,2.2,4.5,1.5,Iris-versicolor,3
100,5.7,2.8,4.1,1.3,Iris-versicolor,3
143,5.8,2.7,5.1,1.9,Iris-virginica,4
91,5.5,2.6,4.4,1.2,Iris-versicolor,3
5,5.0,3.6,1.4,0.2,Iris-setosa,3
141,6.7,3.1,5.6,2.4,Iris-virginica,4
18,5.1,3.5,1.4,0.3,Iris-setosa,3
99,5.1,2.5,3.0,1.1,Iris-versicolor,3
88,6.3,2.3,4.4,1.3,Iris-versicolor,3
131,7.4,2.8,6.1,1.9,Iris-virginica,4
96,5.7,3.0,4.2,1.2,Iris-versicolor,3
78,6.7,3.0,5.0,1.7,Iris-versicolor,4
55,6.5,2.8,4.6,1.5,Iris-versicolor,4
94,5.0,2.3,3.3,1.0,Iris-versicolor,4
7,4.6,3.4,1.4,0.3,Iris-setosa,3
54,5.5,2.3,4.0,1.3,Iris-versicolor,4
77,6.8,2.8,4.8,1.4,Iris-versicolor,4
27,5.0,3.4,1.6,0.4,Iris-setosa,3
98,6.2,2.9,4.3,1.3,Iris-versicolor,4
46,4.8,3.0,1.4,0.3,Iris-setosa,3
126,7.2,3.2,6.0,1.8,Iris-virginica,4
83,5.8,2.7,3.9,1.2,Iris-versicolor,4
120,6.0,2.2,5.0,1.5,Iris-virginica,4
31,4.8,3.1,1.6,0.2,Iris-setosa,4
93,5.8,2.6,4.0,1.2,Iris-versicolor,4
36,5.0,3.2,1.2,0.2,Iris-setosa,4
81,5.5,2.4,3.8,1.1,Iris-versicolor,4
6,5.4,3.9,1.7,0.4,Iris-setosa,4
24,5.1,3.3,1.7,0.5,Iris-setosa,4
39,4.4,3.0,1.3,0.2,Iris-setosa,4
11,5.4,3.7,1.5,0.2,Iris-setosa,4
2,4.9,3.0,1.4,0.2,Iris-setosa,4
142,6.9,3.1,5.1,2.3,Iris-virginica,4
16,5.7,4.4,1.5,0.4,Iris-setosa,4
15,5.8,4.0,1.2,0.2,Iris-setosa,4
118,7.7,3.8,6.7,2.2,Iris-virginica,4
51,7.0,3.2,4.7,1.4,Iris-versicolor,4
132,7.9,3.8,6.4,2.0,Iris-virginica,4
40,5.1,3.4,1.5,0.2,Iris-setosa,4
